Logger, Chessanchez:         	Automatically truncated logfile to 1048576, MadelineProto 8.3.5
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
Session, Chessanchez:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, Chessanchez:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, Chessanchez:       	Ping DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
PingLoop, Chessanchez:       	Ping DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
Session, Chessanchez:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Chessanchez:        	Can't garbage collect ping_delay_disconnect with message ID 7433172918479336888 sent 4.487734122 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Chessanchez:        	Garbage collected 1 outgoing messages in DC 2, 1 left
PingLoop, Chessanchez:       	Ping DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
PingLoop, Chessanchez:       	Ping DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
AckHandler, Chessanchez:     	No reply for message: ping_delay_disconnect with message ID 7433172918479336888 sent 9.965909884 seconds ago
AckHandler, Chessanchez:     	No reply for message: ping_delay_disconnect with message ID 7433172939954422520 sent 5.000947109 seconds ago
PingLoop, Chessanchez:       	Error while pinging DC 2.0
PingLoop, Chessanchez:       	Amp\TimeoutException: Request timeout in /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/AckHandler.php:124
Stack trace:
#0 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/WrappedFuture.php(59): danog\MadelineProto\Connection::danog\MadelineProto\MTProtoSession\{closure}()
#1 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/CallHandler.php(92): danog\MadelineProto\WrappedFuture->await()
#2 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Loop/Connection/PingLoop.php(64): danog\MadelineProto\Connection->methodCallAsyncRead()
#3 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(425): danog\MadelineProto\Loop\Connection\PingLoop->danog\MadelineProto\Loop\Connection\{closure}()
#4 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(616): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#5 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#6 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#7 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(425): Revolt\EventLoop\Internal\DriverSuspension::Revolt\EventLoop\Internal\{closure}()
#8 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(616): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#9 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#10 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(497): Fiber->resume()
#11 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(553): Revolt\EventLoop\Internal\AbstractDriver->invokeCallbacks()
#12 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#13 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(94): Fiber->resume()
#14 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(117): Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#15 /home/hugo/proyectos/EnLaZac/vendor/amphp/amp/src/Future.php(251): Revolt\EventLoop\Internal\DriverSuspension->suspend()
#16 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Connection.php(593): Amp\Future->await()
#17 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/CallHandler.php(189): danog\MadelineProto\Connection->sendMessage()
#18 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/CallHandler.php(91): danog\MadelineProto\Connection->methodCallAsyncWrite()
#19 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoTools/CallHandler.php(45): danog\MadelineProto\Connection->methodCallAsyncRead()
#20 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProto.php(1620): danog\MadelineProto\MTProto->methodCallAsyncRead()
#21 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProto.php(1168): danog\MadelineProto\MTProto->fullGetSelf()
#22 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/API.php(343): danog\MadelineProto\MTProto->wakeup()
#23 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/API.php(194): danog\MadelineProto\API->connectToMadelineProto()
#24 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Ipc/Runner/entry.php(114): danog\MadelineProto\API->__construct()
#25 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Ipc/Runner/entry.php(154): danog\MadelineProto\Ipc\Runner\{closure}()
#26 {main}
PingLoop, Chessanchez:       	Error while pinging DC 2.0
PingLoop, Chessanchez:       	Amp\TimeoutException: Request timeout in /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/AckHandler.php:124
Stack trace:
#0 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/WrappedFuture.php(59): danog\MadelineProto\Connection::danog\MadelineProto\MTProtoSession\{closure}()
#1 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/CallHandler.php(92): danog\MadelineProto\WrappedFuture->await()
#2 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Loop/Connection/PingLoop.php(64): danog\MadelineProto\Connection->methodCallAsyncRead()
#3 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(425): danog\MadelineProto\Loop\Connection\PingLoop->danog\MadelineProto\Loop\Connection\{closure}()
#4 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(616): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#5 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#6 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#7 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(425): Revolt\EventLoop\Internal\DriverSuspension::Revolt\EventLoop\Internal\{closure}()
#8 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(616): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#9 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#10 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#11 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(425): Revolt\EventLoop\Internal\DriverSuspension::Revolt\EventLoop\Internal\{closure}()
#12 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(616): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#13 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#14 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(497): Fiber->resume()
#15 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(553): Revolt\EventLoop\Internal\AbstractDriver->invokeCallbacks()
#16 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#17 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(94): Fiber->resume()
#18 /home/hugo/proyectos/EnLaZac/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(117): Revolt\EventLoop\Internal\AbstractDriver->Revolt\EventLoop\Internal\{closure}()
#19 /home/hugo/proyectos/EnLaZac/vendor/amphp/amp/src/Future.php(251): Revolt\EventLoop\Internal\DriverSuspension->suspend()
#20 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Connection.php(593): Amp\Future->await()
#21 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/CallHandler.php(189): danog\MadelineProto\Connection->sendMessage()
#22 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/CallHandler.php(91): danog\MadelineProto\Connection->methodCallAsyncWrite()
#23 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoTools/CallHandler.php(45): danog\MadelineProto\Connection->methodCallAsyncRead()
#24 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProto.php(1620): danog\MadelineProto\MTProto->methodCallAsyncRead()
#25 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProto.php(1168): danog\MadelineProto\MTProto->fullGetSelf()
#26 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/API.php(343): danog\MadelineProto\MTProto->wakeup()
#27 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/API.php(194): danog\MadelineProto\API->connectToMadelineProto()
#28 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Ipc/Runner/entry.php(114): danog\MadelineProto\API->__construct()
#29 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/Ipc/Runner/entry.php(154): danog\MadelineProto\Ipc\Runner\{closure}()
#30 {main}
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
Session, Chessanchez:        	Can't garbage collect ping_delay_disconnect with message ID 7433172961429659968 sent 4.522855695 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Chessanchez:        	Garbage collected 2 outgoing messages in DC 2, 1 left
PingLoop, Chessanchez:       	Ping DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
AckHandler, Chessanchez:     	No reply for message: ping_delay_disconnect with message ID 7433172961429659968 sent 5.000795977 seconds ago
PingLoop, Chessanchez:       	Error while pinging DC 2.0
PingLoop, Chessanchez:       	Amp\TimeoutException: Request timeout in /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/MTProtoSession/AckHandler.php:124
Stack trace:
#0 /home/hugo/proyectos/EnLaZac/vendor/danog/madelineproto/src/WrappedFuture.php(59): danog\MadelineProto\Connection::danog\MadelineProto\MTProtoSession\{closure}()
